gvkey,iid,datadate,tic,exchg,,,
5568,4,2024-03-31,KHC,14,,,
5572,1,2024-02-29,HELE,14,,,
5581,1,2024-02-29,HP,11,,,
5583,1,2024-02-29,HMENF,19,,,
5583,01C,2024-02-29,HME.,9,,,
5597,1,2024-02-29,HSY,11,,,
5600,8,2024-02-29,HTZ,14,,,
5606,1,2024-02-29,HPQ,11,,,
5606,1,2024-03-31,HPQ,11,,,
5608,1,2024-02-29,HXL,11,,,
5621,1,2024-02-29,CRAWA,19,,,
5643,4,2024-02-29,HLT,11,,,
5650,90,2024-02-29,HTHIY,19,,,
5667,1,2024-02-29,DINO,11,,,
5667,1,2024-03-31,DINO,11,,,
5678,1,2024-02-29,HMTC,19,,,
5680,1,2024-02-29,HD,11,,,
5680,1,2024-03-31,HD,11,,,
5690,1,2024-02-29,HNI,11,,,
5690,1,2024-03-31,HNI,11,,,
5691,90,2024-02-29,HMC,11,,,
5709,1,2024-02-29,HRL,11,,,
5742,1,2024-02-29,CNP,11,,,
5742,1,2024-03-31,CNP,11,,,
5750,2,2024-02-29,HOV,11,,,
5750,3,2024-02-29,HOVVB,19,,,
5764,1,2024-02-29,HUBB,11,,,
5783,1,2024-02-29,JBHT,14,,,
5786,1,2024-02-29,HBAN,14,,,
5788,1,2024-02-29,HURC,14,,,
5811,1,2024-02-29,HYDI,19,,,
5860,1,2024-02-29,ITT,11,,,
5860,1,2024-03-31,ITT,11,,,
5862,1,2024-02-29,RYN,11,,,
5862,1,2024-03-31,RYN,11,,,
5870,1,2024-02-29,IDA,11,,,
5878,1,2024-02-29,ITW,11,,,
5903,3,2024-02-29,IMO,12,,,
5903,3,2024-03-31,IMO,12,,,
5903,03C,2024-02-29,IMO.,7,,,
5903,03C,2024-03-31,IMO.,7,,,
5932,1,2024-02-29,IEHC,19,,,
5959,1,2024-02-29,TT,11,,,
5965,1,2024-02-29,INTO,19,,,
5968,3,2024-02-29,RYI,11,,,
5968,3,2024-03-31,RYI,11,,,
