DATE,COMNAM,TICKER,PERMNO
1994-05-25,ALERT CENTRE INC,ALT,80588
1996-08-16,ALLEGHENY TELEDYNE INC,ALT,43123
2000-08-07,ALTEON INC,ALT,77086
2009-11-16,ISHARES TRUST,ALT,93100
2017-05-05,ALTIMMUNE INC,ALT,90926
2000-05-23,ALTAIR INTERNATIONAL INC,ALTI,84596
2002-07-17,ALTAIR NANOTECHNOLOGIES INC,ALTI,84596
2021-02-01,ALTO INGREDIENTS INC,ALTO,86165
2004-06-10,ALTERA CORP,ALTR,75577
2017-11-01,ALTAIR ENGINEERING INC,ALTR,17034
2006-01-26,ALTUS PHARMACEUTICALS INC,ALTU,91074
2021-01-29,ALTITUDE ACQUISITION CORP,ALTU,20413
2022-06-16,ALVOTECH,ALVO,23172
2001-08-02,ALVARION LTD,ALVR,87755
2020-07-30,ALLOVIR INC,ALVR,19540
2020-07-17,ALX ONCOLOGY HOLDINGS INC,ALXO,19542
2018-11-02,ALITHYA GROUP INC,ALYA,18149
2021-06-15,ALZAMEND NEURO INC,ALZN,21513
2018-08-09,AMALGAMATED BANK,AMAL,18043
2021-03-01,AMALGAMATED FINANCIAL CORP,AMAL,18043
2021-06-18,AMBRX BIOPHARMA INC,AMAM,21365
2004-06-10,APPLIED MATERIALS INC,AMAT,14702
2012-10-10,AMBARELLA INC,AMBA,13634
2011-07-01,A M C NETWORKS INC,AMCX,12880
1998-08-03,ADVANCED MICRO DEVICES INC,AMD,61241
1991-08-09,AMBULATORY MEDICAL CARE INC,AMED,12299
1995-08-11,AMEDISYS INC,AMED,80795
2017-12-08,APOLLO MEDICAL HOLDINGS INC,AMEH,17133
2004-06-10,AMGEN INC,AMGN,14008
1998-05-01,AMKOR TECHNOLOGY INC,AMKR,86047
2017-06-01,AMPLIFY ETF TRUST,AMLX,17396
2022-01-07,AMYLYX PHARMACEUTICALS INC,AMLX,22626
1999-04-23,AMERICAN NATIONAL BANKSHARES INC,AMNB,86814
2021-02-17,AMPLITECH GROUP INC,AMPG,20566
2004-04-01,AMERICAN PHYSICIANS SVC GROUP,AMPH,13603
2014-06-25,AMPHASTAR PHARMACEUTICALS INC,AMPH,14688
2000-05-01,AMPAL AMERICAN ISRAEL CORP,AMPL,64864
2021-09-28,AMPLITUDE INC,AMPL,21904
2014-03-17,A MARK PRECIOUS METALS INC,AMRK,14532
1995-11-22,AMERIN CORP,AMRN,82548
2000-01-10,AMARIN CORP PLC,AMRN,79122
1991-12-12,AMERICAN SUPERCONDUCTOR CORP,AMSC,77175
2005-11-18,AMERISAFE INC,AMSF,90963
1992-09-18,AMERICAN STUDIOS INC,AMST,77901
2020-09-25,AMESITE INC,AMST,19811
2000-08-01,AMERICAN SOFTWARE INC,AMSWA,13777
1995-03-01,AMERICAN MEDICAL TECHS INC,AMTI,75706
2020-06-05,APPLIED MOLECULAR TRANSPORT INC,AMTI,19462
1995-11-29,AMATI COMMUNICATIONS CORP,AMTX,43474
2014-06-06,AEMETIS INC,AMTX,14689
2004-06-10,AMERICAN WOODMARK CORP,AMWD,10501
1997-05-15,AMAZON COM INC,AMZN,84788
2017-01-26,ANAPTYSBIO INC,ANAB,16562
1996-02-20,ANDERSONS INC,ANDE,83112
2021-05-07,ANEBULO PHARMACEUTICALS INC,ANEB,21269
2022-02-04,ANGHAMI INC,ANGH,22763
2011-11-17,ANGIES LIST INC,ANGI,13106
2017-10-02,ANGI HOMESERVICES INC,ANGI,16921
2021-03-18,ANGI INC,ANGI,16921
2004-05-27,ANGIODYNAMICS INC,ANGO,90179
1993-05-24,ANIKA RESEARCH INC,ANIK,79150
1997-01-23,ANIKA THERAPEUTICS INC,ANIK,79150
2013-07-18,A N I PHARMACEUTICALS INC,ANIP,89875
2018-10-01,ANIXA BIOSCIENCES INC,ANIX,27167
2000-08-14,AMERICAN LAND LEASE INC,ANL,70818
2020-07-24,ANNEXON INC,ANNX,19544
1996-06-20,ANSYS INC,ANSS,83621
2019-06-13,AIRNET TECHNOLOGY INC,ANTE,92427
2022-03-25,AN2 THERAPEUTICS INC,ANTX,22886
2014-07-08,SPHERE 3D CORP,ANY,14791
2015-03-24,SPHERE 3D CORP NEW,ANY,14791
2022-02-11,AROGO CAPITAL ACQ CORP,AOGO,22764
2010-04-29,ALPHA & OMEGA SEMICONDUCTOR LTD,AOSL,93340
2020-08-25,AMERICAN OUTDOOR BRANDS INC,AOUT,19579
2002-01-02,APACHE CORP,APA,39490
2021-03-02,A P A CORP,APA,39490
1992-01-24,AMERICAN PLASTICS & CHEM INC,APAC,11795
1995-10-11,A P A C CUSTOMER SERVICES INC,APAC,82471
2021-09-07,STONEBRIDGE ACQUISITION CORP,APAC,21910
2022-01-05,APPTECH PAYMENTS CORP,APCX,22627
2014-11-17,APPLIED DNA SCIENCES INC,APDN,15057
2007-11-09,AMERICAN PUBLIC EDUCATION INC,APEI,92428
1994-12-13,APOGEE ROBOTICS INC,APGE,14534
1992-03-18,ADVANCED PHOTONIX INC,API,76879
2020-06-26,AGORA INC,API,19463
2022-04-13,APPLIED BLOCKCHAIN INC,APLD,89986
2022-11-17,APPLIED DIGITAL CORP,APLD,89986
2017-11-09,APELLIS PHARMACEUTICALS INC,APLS,17104
2019-05-14,APPLIED THERAPEUTICS INC,APLT,18644
1998-09-01,APPLIED MAGNETICS CORP,APM,52804
2018-12-18,APTORUM GROUP LTD,APM,18303
2004-06-10,APOGEE ENTERPRISES INC,APOG,14526
1994-02-10,AMERICAN PAGING INC,APP,80192
2007-12-13,AMERICAN APPAREL INC,APP,91136
2021-04-15,APPLOVIN CORP,APP,20894
2015-06-26,APPFOLIO INC,APPF,15410
1990-11-01,ZYMOS CORP,APPN,84180
1990-12-21,APPIAN TECHNOLOGY INC,APPN,84180
2017-05-25,APPIAN CORP,APPN,16698
1995-05-25,A P P S DENTAL INC,APPS,81600
2001-03-21,APPIANT TECHNOLOGIES INC,APPS,84432
2015-01-20,DIGITAL TURBINE INC,APPS,88518
2019-10-03,APREA THERAPEUTICS INC,APRE,18997
2000-10-24,APTIMUS INC,APTM,87230
2021-09-17,ALPHA PARTNERS TECH MERGER CORP,APTM,21911
2014-10-23,APTOSE BIOSCIENCES INC,APTO,77569
2016-08-01,APTEVO THERAPEUTICS INC,APVO,16146
2011-04-29,ASIA PACIFIC WIRE & CBLE CORP LT,APWC,84650
2022-01-27,APX ACQUISITION CORP I,APXI,22628
2019-01-02,APYX MEDICAL CORP,APYX,89891
2017-01-19,AQUABOUNTY TECHNOLOGIES INC,AQB,16541
2015-07-31,AQUA METALS INC,AQMS,15493
2018-07-25,AQUESTIVE THERAPEUTICS INC,AQST,17955
2013-01-23,AQUASITION CORP,AQU,13751
2022-10-19,AQUARON ACQUISITION CORP,AQU,23451
2018-10-16,ARAVIVE INC,ARAV,14555
2007-02-08,ACCURAY INC DE,ARAY,91814
2021-10-08,ARBE ROBOTICS LTD,ARBE,22181
2021-09-23,ARGO BLOCKCHAIN PLC,ARBK,21912
2014-05-01,ARCBEST CORP,ARCB,77595
1999-10-29,ALLIED RISER COMMUNICATIONS CORP,ARCC,87300
2004-10-05,ARES CAPITAL CORP,ARCC,90401
2012-03-01,AMERICAN REALTY CAPITAL TR INC,ARCT,13320
2017-11-16,ARCTURUS THERAPEUTICS LTD,ARCT,13918
2019-06-13,ARCTURUS THERAPEUTICS HLDNGS INC,ARCT,13918
2014-06-19,ARDELYX INC,ARDX,14690
2022-02-07,AMERICAN REBEL HOLDINGS INC,AREB,22765
