Symbol,Name,Last,Change,% Change,Open,High,Low,Time,Ticker cleaned,,,Download from: https://theglobeandmail.com/investing/markets/indices/TXCX/components/
BTO-T,B2Gold Corp,3.47,-0.14,-0.038781163,3.56,3.56,3.45,16:00 ET,BTO,,,
BYD-T,Boyd Group Services Inc,312.41,1.98,0.00637825,310.59,312.86,310.59,16:00 ET,BYD,,,
CAE-T,Cae Inc,26.44,0.04,0.001515152,26.4,26.59,26.3,16:00 ET,CAE,,,
CAR-UN-T,CDN Apartment Un,48.47,-0.84,-0.017035084,49.23,49.33,48.34,16:00 ET,CAR-UN,,,
CCA-T,Cogeco Communications Inc,59.96,-0.19,-0.00315877,59.52,60.16,59.52,16:00 ET,CCA,,,
CCL-B-T,Ccl Industries Inc Cl B NV,73.79,0.22,0.002990349,73.63,74.39,73.23,16:00 ET,CCL-B,,,
CCO-T,Cameco Corp,56.6,1.62,0.02946526,55.25,56.87,54.96,16:15 ET,CCO,,,
CFP-T,Canfor Corp,16.28,-0.54,-0.032104637,16.9,17.04,16.28,16:00 ET,CFP,,,
CG-T,Centerra Gold Inc,7.62,0.03,0.003952569,7.51,7.645,7.42,16:00 ET,CG,,,
CHP-UN-T,Choice Properties REIT,13.56,-0.04,-0.002941176,13.58,13.58,13.415,16:15 ET,CHP-UN,,,
CIGI-T,Colliers International Group Inc,161.25,2.32,0.014597622,158.33,161.41,158.31,16:00 ET,CIGI,,,
CIX-T,CI Financial Corp,16.85,0.02,0.001188354,16.85,16.91,16.74,16:00 ET,CIX,,,
CJT-T,Cargojet Inc,112.84,1.98,0.017860364,110.57,113.26,110.57,16:00 ET,CJT,,,
CLS-T,Celestica Inc Sv,60.99,2.13,0.036187564,59.83,61.19,59.76,16:00 ET,CLS,,,
CM-T,Canadian Imperial Bank of Commerce,66.9,0.05,0.000747943,67,67.1,66.75,16:00 ET,CM,,,
CNQ-T,Canadian Natural Resources Ltd.,97.25,-0.01,-0.000102817,97.5,97.64,96.73,16:00 ET,CNQ,,,
CNR-T,Canadian National Railway Co.,175.27,1.83,0.010551199,173.88,175.68,173.57,16:00 ET,CNR,,,
CP-T,Canadian Pacific Kansas City Ltd,122.2,1.37,0.011338244,120.96,122.29,120.4,16:15 ET,CP,,,
CPG-T,Crescent Point Energy Corp,10.19,0.03,0.002952756,10.12,10.22,10.1,16:00 ET,CPG,,,
CPX-T,Capital Power Corp,37.81,-0.97,-0.025012893,38.7,38.71,37.795,16:00 ET,CPX,,,
